"PWR_EXC_TP_CD","FUEL_TP_CD","CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","FCST_CAPA","ESS_CHRG","ESS_DISC","ESS_CAPA","REG_DATE","UPD_DATE"
"09","13","202508010300","202508021100","03200","03",231.390316,280.978866,354.046701,,288.782988,,231.390316,354.046701,231.390316,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021100","03200","03",50.614557,62.418468,76.542109,,18.978654,,62.418468,76.542109,18.978654,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021200","03300","03",267.274240,295.732221,349.994337,,339.544934,,267.274240,349.994337,267.274240,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021200","03300","03",59.656183,73.951590,73.236872,,27.824416,,73.951590,73.951590,27.824416,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021300","03400","03",299.321551,280.090638,328.527107,,348.954184,,299.321551,348.954184,280.090638,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021300","03400","03",63.451659,88.894888,71.764461,,36.392582,,88.894888,88.894888,36.392582,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021400","03500","03",287.740471,321.585266,341.476956,,325.199176,,287.740471,341.476956,287.740471,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021400","03500","03",50.007848,74.542406,65.396660,,40.271019,,74.542406,74.542406,40.271019,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021500","03600","03",267.355693,264.618755,330.503956,,276.804742,,267.355693,330.503956,264.618755,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021500","03600","03",55.935782,38.494120,86.031448,,40.898735,,38.494120,86.031448,38.494120,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021600","03700","03",223.224578,239.935863,274.866042,,261.602446,,223.224578,274.866042,223.224578,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021600","03700","03",25.337418,19.853053,74.296086,,31.211684,,19.853053,74.296086,19.853053,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021700","03800","03",159.325438,204.265432,221.927488,,220.947905,,159.325438,221.927488,159.325438,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021700","03800","03",8.680216,14.223728,59.994316,,17.832411,,14.223728,59.994316,8.680216,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021800","03900","03",92.017244,134.480965,131.610174,,122.663658,,92.017244,134.480965,92.017244,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021800","03900","03",20.160997,16.108251,63.826711,,14.997911,,16.108251,63.826711,14.997911,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021900","04000","03",42.105147,51.900529,35.490197,,50.749566,,42.105147,51.900529,35.490197,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021900","04000","03",33.255891,45.900289,76.177798,,15.821608,,45.900289,76.177798,15.821608,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508022000","04100","03",12.532852,10.264811,2.175927,,5.240167,,12.532852,12.532852,2.175927,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508022000","04100","03",56.231395,47.354151,67.556668,,21.306090,,47.354151,67.556668,21.306090,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508022100","04200","03",8.614113,0.000000,0.108015,,0.000000,,8.614113,8.614113,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508022100","04200","03",39.967496,18.283054,87.033492,,24.065040,,18.283054,87.033492,18.283054,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508022200","04300","03",2.997309,14.727402,1.923276,,0.000000,,2.997309,14.727402,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508022200","04300","03",29.125446,9.559125,56.054553,,24.594429,,9.559125,56.054553,9.559125,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508022300","04400","03",1.061564,2.033818,0.161078,,0.000000,,1.061564,2.033818,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
