"CRTN_TM","FCST_TM","LEAD_TM","FCST_MINPW","FCST_CURT","REG_DATE","UPD_DATE"
"202508011500","202508020000","00900",800.00,27.40,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020100","01000",700.00,11.39,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020200","01100",650.00,-7.21,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020300","01200",550.00,-6.92,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020400","01300",650.00,-5.43,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020500","01400",650.00,2.96,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020600","01500",650.00,9.48,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020700","01600",650.00,7.94,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020800","01700",650.00,-6.93,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020900","01800",600.00,6.07,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021000","01900",600.00,34.61,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021100","02000",500.00,0.12,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021200","02100",450.00,9.11,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021300","02200",450.00,-2.57,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021400","02300",450.00,45.09,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021500","02400",550.00,39.32,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021600","02500",650.00,28.07,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021700","02600",750.00,15.87,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021800","02700",850.00,-2.52,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508021900","02800",950.00,22.30,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508022000","02900",900.00,-16.41,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508022100","03000",900.00,-0.82,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508022200","03100",800.00,18.66,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508022300","03200",800.00,1.47,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030000","03300",750.00,20.97,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030100","03400",650.00,-10.00,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030200","03500",650.00,24.68,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030300","03600",600.00,4.77,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030400","03700",550.00,-9.43,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030500","03800",650.00,33.37,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030600","03900",600.00,2.32,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030700","04000",600.00,-10.39,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030800","04100",600.00,30.62,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508030900","04200",600.00,10.12,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031000","04300",550.00,-1.84,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031100","04400",550.00,8.54,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031200","04500",500.00,-6.40,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031300","04600",500.00,36.91,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031400","04700",500.00,14.80,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031500","04800",550.00,16.02,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031600","04900",700.00,17.54,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031700","05000",800.00,16.67,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031800","05100",800.00,12.62,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508031900","05200",850.00,4.99,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508032000","05300",800.00,-1.39,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508032100","05400",750.00,3.11,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508032200","05500",700.00,25.13,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508032300","05600",650.00,3.73,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508040000","05700",600.00,5.34,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508012100","202508020000","00300",700.00,-8.89,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020100","00400",650.00,10.25,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020200","00500",700.00,13.57,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020300","00600",700.00,35.15,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020400","00700",700.00,0.73,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020500","00800",700.00,10.02,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020600","00900",650.00,15.02,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020700","01000",750.00,34.78,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020800","01100",700.00,2.90,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508020900","01200",700.00,32.99,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021000","01300",600.00,26.92,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021100","01400",450.00,17.68,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021200","01500",450.00,28.55,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021300","01600",450.00,50.30,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021400","01700",450.00,47.39,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
